country,vegetable,price,available_stock,daily_demand,freshness_age,shelf_life_days,remaining_life,supply_demand_gap,harvest_month,harvest_dayofweek,harvest_quarter,wastage_risk_enc,stock_demand_ratio,life_used_ratio,days_to_expire,predicted_14day_demand,stock_after_14days,shortage_in_14days,potential_wastage_units,expires_before_14days,freshness_pct_remaining,price_demand_ratio,overstock_flag
0,2,116.93,398,215,23,24,1,183,3,4,1,0,1.8425925925925926,0.92,1,3010,-2612,1,0,1,4.0,0.5413425925925927,0
0,0,164.67,118,462,7,13,6,-344,2,0,1,1,0.2548596112311015,0.5,6,6468,-6350,1,0,1,42.857142857142854,0.35565874730021596,0
0,9,82.28,494,74,3,11,8,420,11,3,4,1,6.586666666666667,0.25,8,1036,-542,1,0,1,66.66666666666666,1.0970666666666666,1
1,0,173.23,239,478,16,26,10,-239,7,1,3,1,0.4989561586638831,0.5925925925925926,10,6692,-6453,1,0,1,37.03703703703704,0.36164926931106467,0
1,4,155.07,533,225,7,9,2,308,2,3,1,0,2.3584070796460175,0.7,2,3150,-2617,1,0,1,20.0,0.686150442477876,0
0,9,69.77,329,40,12,21,9,289,7,3,3,1,8.024390243902438,0.5454545454545454,9,560,-231,1,0,1,40.909090909090914,1.7017073170731707,1
0,9,118.5,406,449,0,28,28,-43,5,4,2,1,0.9022222222222223,0.0,28,6286,-5880,1,0,0,96.55172413793103,0.2633333333333333,0
0,8,197.52,173,316,1,24,23,-143,1,4,1,1,0.5457413249211357,0.04,23,4424,-4251,1,0,0,92.0,0.6230914826498423,0
0,4,138.26,452,51,18,24,6,401,5,4,2,1,8.692307692307692,0.72,6,714,-262,1,0,1,24.0,2.6588461538461536,1
1,9,143.23,443,362,9,16,7,81,12,6,4,1,1.2203856749311295,0.5294117647058824,7,5068,-4625,1,0,1,41.17647058823529,0.39457300275482093,0
0,2,62.32,310,329,0,8,8,-19,11,0,4,1,0.9393939393939394,0.0,8,4606,-4296,1,0,1,88.88888888888889,0.18884848484848485,0
0,6,43.6,181,443,7,18,11,-262,8,5,3,1,0.40765765765765766,0.3684210526315789,11,6202,-6021,1,0,1,57.89473684210527,0.09819819819819821,0
1,0,110.35,94,165,6,26,20,-71,6,5,2,1,0.5662650602409639,0.2222222222222222,20,2310,-2216,1,0,0,74.07407407407408,0.6647590361445783,0
1,1,113.58,79,312,9,14,5,-233,6,5,2,2,0.2523961661341853,0.6,5,4368,-4289,1,0,1,33.33333333333333,0.36287539936102237,0
1,6,179.71,493,136,8,11,3,357,1,5,1,2,3.5985401459854014,0.6666666666666666,3,1904,-1411,1,0,1,25.0,1.3117518248175184,0
0,8,89.46,99,468,5,22,17,-369,8,3,3,1,0.21108742004264391,0.21739130434782608,17,6552,-6453,1,0,0,73.91304347826086,0.1907462686567164,0
