country,harvest_date,vegetable,price,available_stock,daily_demand,freshness_age,shelf_life_days,remaining_life,supply_demand_gap,wastage_risk
India,2024-03-08,Cabbage,116.93,398,215,23,24,1,183,High
India,2024-02-12,Beans,164.67,118,462,7,13,6,-344,Low
India,2024-11-07,Tomato,82.28,494,74,3,11,8,420,Low
Sri Lanka,2024-07-02,Beans,173.23,239,478,16,26,10,-239,Low
Sri Lanka,2024-02-08,Cauliflower,155.07,533,225,7,9,2,308,High
India,2024-07-11,Tomato,69.77,329,40,12,21,9,289,Low
India,2024-05-31,Tomato,118.5,406,449,0,28,28,-43,Low
India,2024-01-05,Potato,197.52,173,316,1,24,23,-143,Low
India,2024-05-10,Cauliflower,138.26,452,51,18,24,6,401,Low
Sri Lanka,2024-12-15,Tomato,143.23,443,362,9,16,7,81,Low
India,2024-11-11,Cabbage,62.32,310,329,0,8,8,-19,Low
India,2024-08-03,Okra,43.6,181,443,7,18,11,-262,Low
Sri Lanka,2024-06-15,Beans,110.35,94,165,6,26,20,-71,Low
Sri Lanka,2024-06-29,Brinjal,113.58,79,312,9,14,5,-233,Medium
Sri Lanka,2024-01-13,Okra,179.71,493,136,8,11,3,357,Medium
India,2024-08-22,Potato,89.46,99,468,5,22,17,-369,Low
Sri Lanka,2024-07-01,Beans,32.47,310,106,5,20,15,204,Low
Sri Lanka,2024-08-13,Okra,27.48,526,342,21,26,5,184,Medium
India,2024-03-17,Green Chilli,29.99,135,216,4,18,14,-81,Low
India,2024-02-05,Onion,60.33,211,75,0,18,18,136,Low
Sri Lanka,2024-12-18,Cauliflower,119.1,233,260,0,7,7,-27,Low
India,2024-12-07,Cauliflower,177.81,337,428,1,16,15,-91,Low
India,2024-06-10,Cauliflower,172.16,305,368,19,26,7,-63,Low
Sri Lanka,2024-01-28,Cabbage,103.32,531,130,7,13,6,401,Low
Sri Lanka,2024-10-25,Carrot,31.45,193,158,1,12,11,35,Low
Sri Lanka,2024-02-14,Tomato,44.22,226,157,8,14,6,69,Low
Sri Lanka,2024-01-12,Brinjal,119.26,598,99,0,15,15,499,Low
India,2024-08-11,Potato,118.34,511,241,10,12,2,270,High
India,2024-02-19,Beans,153.18,83,361,0,15,15,-278,Low
India,2024-05-05,Okra,152.68,477,106,14,22,8,371,Low
